Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
quetiapine,350,N05AH04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinagolide,8,G02CB04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
quinapril,224,C09AA06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
quinidine,31,C01BA01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinine,3647,P01BC01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
quinoderm 10% lotio-gel,1,D10AE51,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinoderm 5 cream,1,D10AE51,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinoderm cream,1,D10AE51,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
qvar 50 inhaler,2099,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rabeprazole sodium,949,A02BC04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radian b muscle rub,2,M02AA13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
radian b spray,1,M02AA13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ralgex spray,3,M02AA13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
raloxifene hydrochloride,347,G03XC01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ramipril,27660,C09AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ranflutin 20mg capsule,2,N06AB03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranitic 150mg tablet,4,A02BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranitidine,9342,A02BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranitidine bismuth citrate,3,A02BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranitil 150mg tablet,8,A02BA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapamune 1mg tablet,5,S01XA23,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
rapitil 2% eye drops,83,S01GX04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
rapranol sr 80mg m/r capsule,2,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
rauwolfia alkaloids 2mg tablet,1,C02AA01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rebetol 200mg capsule,3,J05AP01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rebif 12million iu/0.5ml prefilled syringe,5,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
rebif 22micrograms/0.5ml prefilled syringe,11,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
rebif 44micrograms/0.5ml prefilled syringe,12,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
reboxetine,64,N06AX18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
redoxon 25mg tablet,26,A11GA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reductil 10mg capsule,148,A08AA10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refresh 1.4% ophthalmic solution,3,A07BC03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regaine regular strength 20mg/ml topical liquid,13,D11AX,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
regulan 3.6g/sachet powder,105,A06AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regulose solution,1,A06AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regurin 20mg tablet,70,G04BD09,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
relaxit micro-enema,3,A06AG11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relifex 500mg tablet,13,M01AX01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
relpax 20mg tablet,11,N02CC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remedeine effervescent tablet,3,N02AJ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remedeine forte effervescent tablet,3,N02AJ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remedeine forte tablet,30,N02AJ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remedeine tablet,52,N02AJ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remifentanil,1,N01AH06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reminyl 4mg tablet,10,N06DA04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renagel 403mg capsule,23,V03AE02,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
renitec 5mg tablet,3,C09AA02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
rennie duo oral suspension,168,A02AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
repaglinide,91,A10BX02,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
reproterol,1,R03CC14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
requip 0.25mg tablet,69,N04BC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resonium a powder,1,V03AE01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
respillin 250mg capsule,1,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
respiratory mometasone,327,R01AD09|R03BA07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
restandol 40mg capsule,28,G03BA03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
retin-a 0.025% cream,13,D10AD01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
retinol product,12,A11CA01|S01XA02|R01AX02|D10AD02,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
retrovir 100mg capsule,3,J05AF01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
retrovir 200mg/10ml intravenous infusion concentrate,2,J05AF01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
retrovir 250mg capsule,3,J05AF01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
retrovir 300mg tablet,1,J05AF01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
retrovir 50mg/5ml s/f oral solution,1,J05AF01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
reyataz 100mg capsule,2,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
reyataz 150mg capsule,4,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
reyataz 200mg capsule,2,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rhdnase,2,R05CB13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rheumatac retard 75mg m/r tablet,12,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
rheumox 300mg capsule,1,M01AX04,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
rhinocort 50micrograms nasal spray,194,R01AD05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rhinolast 0.1% nasal spray,81,R01AC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rhumalgan 25mg e/c tablet,95,M01AB05,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ribavirin,25,J05AP01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ridaura 3mg tablet,1,M01CB03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
rifabutin,1,J04AB04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifadin 150mg capsule,1,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifadin 300mg capsule,1,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifampicin,19,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifampicin product,1,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifampicin+isoniazid 300mg/150mg tablet,1,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifater tablet,3,J04AM05,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifinah 150 tablet,3,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rifinah 300 tablet,5,J04AB02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rilutek 50mg tablet,5,N07XX02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riluzole,10,N07XX02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rimapurinol 100mg tablet,1,M04AA01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
rimexolone,11,S01BA13|H02AB12,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
rimiterol,2,R03AC05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rimoxallin 500mg capsule,1,J01CA04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rinatec 0.03% aqueous nasal spray,88,R01AX03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rino clenil 50micrograms nasal spray,1066,R01AD01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rinstead contact pastille,1,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risedronate sodium,1077,M05BA07,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
risperdal 0.5mg tablet,37,N05AX08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risperidone,283,N05AX08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ritalin 10mg tablet,10,N06BA04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ritodrine,2,G02CA01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ritonavir,108,J05AE03,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rivastigmine,14,N06DA03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivotril 500mcg tablet,27,N03AE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rizatriptan,435,N02CC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roaccutane 5mg capsule,21,D10AD04,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
robaxin 750mg tablet,27,M03BA03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
robitussin dry cough medicine liquid,2,R05CA03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rocaltrol 250nanograms capsule,8,D05AX03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
rocephin 1g injection (pdr for recon),1,J01DD04,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rofecoxib,1,M01AH02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
roferon-a-2a 3million iu/1ml injection solution,1,"	L03AB04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rohypnol 1mg tablet,1,N05CD03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ropinirole,393,N04BC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rosiglitazone,759,A10BG02,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
rosiglitazone 1mg / metformin 500mg tablet,223,A10BD03,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
rosoxacin,3,J01MB01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rosuvastatin,3576,C10AA07,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
rovamycine 250mg tablet,1,J01FA02|QJ51FA02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rowachol capsule,1,A05AX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rozex 0.75% cream,59,D06BX01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
rozex 0.75% gel,38,D06BX01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
rynacrom 2% nasal drops,40,R01AC01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
rythmodan 100mg capsule,7,C01BA03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa - salicylic acid,1,D01AE12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabril 500mg tablet,3,N03AG04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salactol paint,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salagen 5mg tablet,11,N07AX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salamol 100micrograms inhaler,1642,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salatac gel,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salazopyrin 500mg tablet,314,A07EC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salazosulfapyridine,7,A07EC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salbulin 100micrograms inhaler,98,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbutamol,6609,R03AC02|R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbutamol 100micrograms spacehaler,3503,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbutamol product,825,R03AC02|R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbutamol+ipratropium 100micrograms/20micrograms inhaler,138,R03AL02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbuvent 100micrograms inhaler,121,R03AC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbuvent 2mg/5ml syrup,1,R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salbuvent 5mg/ml respirator solution,4,R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salicylic acid,16,D01AE12|S01BC08,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
salicylic acid product,33,D01AE12|S01BC08,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
salicylic acid+anthraquinone glycosides 1%/0.5% oral paint,1,D01AE12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
salicylic acid+lactic acid 25%/25% ointment,1,D01AE12|G01AD01,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
saline 0.9% nose drops,13,R01AX10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
saline 0.9% topical solution,2,S01XA03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
salinum sugar free oral solution,1,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saliva orthana spray,6,A08A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salivace sugar free spray,1,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saliveze spray,16,A01AD01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salivix pastille,54,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmeterol,1336,R03AC12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salmeterol product,308,R03AC12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salmeterol+fluticasone propionate,953,R03AK06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
salofalk 250mg e/c tablet,23,A07EC02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salonair spray,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandocal 400 effervescent tablet,82,A12AA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sando-k effervescent tablet,42,A12BA51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandostatin 50micrograms/1ml injection,12,H01CB02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
sandrena 0.5mg gel,112,G03CA03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
sanomigran 500micrograms tablet,91,N02CX01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saquinavir,13,J05AE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
saventrine 30mg tablet,1,R03CB01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
savlon bath oil,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saw palmetto product,587,G04CX02,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
schering pc4 tablet,1,G03AA07,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
scheriproct ointment,67,D07XA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
scopoderm tts transdermal patch,2,S01FA02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
scopolamine,1,A04AD01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea-legs 12.5mg tablet,2,R06AE05,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
sebco ointment,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sebomin mr 100mg m/r capsule,23,J01AA08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
secaderm ointment,1,C05BA01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sectral 100mg capsule,7,C07AB04,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
securon 40mg tablet,136,C08DA01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
seldane 120mg tablet,1,R06AX12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
selegiline,100,N04BD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selenium ace tablet,672,A11JC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selenium product,1601,A12CE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selexid 100mg/sachet suspension,1,J01CA08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
selexid 200mg tablet,4,J01CA08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
selsun shampoo,10,D01AE13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
semprex 8mg capsule,2,R06AX18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
senna,1077,A06AB06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senna product,190,A06AB06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sennosides,1,A06AB06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senokot 7.5mg tablet,234,A06AB06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senokot hi-fibre lemon 3.5g/sachet s/f granules,24,A06AC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
septrin 480mg dispersible tablet,4,J01EE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
septrin 480mg tablet,26,J01EE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
septrin 960mg/3ml intramuscular injection,1,J01EE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
septrin adult suspension,1,J01EE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
septrin forte 960mg tablet,9,J01EE01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
serc-8 tablet,150,N07CA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serenace 500micrograms capsule,13,N05AD01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seretide 50 evohaler,6306,R03AK06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
serevent 25mcg inhaler,1383,R03AC12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
sermorelin,1,H01AC04|V04CD03,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
serophene 50mg tablet,1,G03GB02,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
seroquel 25mg tablet,75,N05AH04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seroxat 20mg tablet,683,N06AB05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sertindole,2,N05AE03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sertraline,2798,N06AB06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sevelamer,28,V03AE02,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
sevredol 10mg tablet,26,N02AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sevredol 20mg tablet,12,N02AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sevredol 50mg tablet,1,N02AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sibutramine,53,A08AA10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sildenafil,1125,G04BE03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
silderm cream,1,G04BE03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
silgel cream,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silkis 3micrograms/g ointment,30,D05AX03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver sulfadiazine,1,S01AX02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
simple eye ointment,44,S01AX,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
simple linctus,6,A09AB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simple ointment bp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simvador 10mg tablet,694,C10AA01,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
simvastatin,64675,C10AA01,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
sinemet-62.5 tablet,175,N04BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinemet-ls tablet,89,N04BA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinequan 10mg capsule,2,N06AA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singulair 10mg tablet,385,R03DC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
sinthrome 1mg tablet,28,B01AA07,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
siopel cream,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirolimus,11,L04AA10|S01XA23,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
skinoren cream,12,D10AX03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleepia 50mg capsule,4,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
slofedipine 20mg m/r tablet,1,C08CA05,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
slo-phyllin 60mg m/r capsule,34,R03DA04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
slow sodium 600mg m/r tablet,5,A12CA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow-fe folic m/r tablet,2,"	B03A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow-k 600mg m/r tablet,68,A12BA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow-trasicor 160mg m/r tablet,9,C07AA,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
slozem 120mg m/r capsule,185,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
sno-tears eye drops,133,S01XA20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
soap substitute+zinc oxide 5% cream wash,1,C05AX04,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium acid phosphate,5,A12CX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium aurothiomalate,4,M01CB01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
sodium bicarbonate,147,B05CB04|B05XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium bicarbonate 2% preservative-free eye drops,4,B05CB04,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium chloride,24,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium chloride 0.9% nose drops,3,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium chloride 0.9% topical solution,4,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium chloride eye drops,20,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium chloride product,15,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium chloride+glucose tablet,3,A12CA01|B05CB01|B05XA03|S01XA03,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
sodium citrate 4g/sachet powder,1,B05CB02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium clodronate,47,M05BA02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
sodium cromoglicate,450,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
sodium cromoglicate+isoprenaline sulphate,1,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
sodium cromoglicate+salbutamol,1,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
sodium cromoglycate,143,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
sodium cromoglycate+isoprenaline sulphate,1,A07EB01|D11AH03|R01AC01|R03BC01|S01GX01,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
sodium ethacrynate,1,C03CC01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
sodium feredetate,8,B03AB03,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium liothyronine,11,H03AA02,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
sodium phosphate,7,A06AG01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium picosulfate,35,A06AB08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium picosulphate,17,A06AB08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium stibogluconate,1,P01CB02,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
sodium thyroxine,230,H03AA01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
sodium valproate,540,N03AG01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium warfarin,422,B01AA03,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
sofradex eye/ear drops,26,S03CA01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
solaraze 3% gel,97,D11AX18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
solifenacin,1052,G04BD08,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
soloc 5mg tablet,2,C07AB07,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
solpadeine capsule,129,N02AJ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
